Temperature (C),Humidity,Wind Speed (km/h),Wind Bearing (degrees),Visibility (km),Loud Cover,Pressure (millibars)
7.855555556,0.72,9.8049,11,15.0052,0,1006.56
7.316666667,0.75,6.6654,326,15.8746,0,1007.07
7.244444444,0.75,7.1162,309,15.8746,0,1007.37
5.438888889,0.88,3.7191,193,9.982,0,1012.23
7.2,0.76,14.4739,273,15.8263,0,1007.28
6.688888889,0.7,20.5275,300,15.8263,0,1007.18
6.211111111,0.73,19.3039,309,14.9569,0,1007.39
6.111111111,0.76,17.4363,300,9.982,0,1007.67
6.111111111,0.76,20.4148,300,9.982,0,1007.98
6.172222222,0.76,17.0499,307,9.982,0,1008.57
7.222222222,0.71,20.5114,319,9.982,0,1008.87
7.288888889,0.73,17.6456,328,9.982,0,1009.44
7.405555556,0.72,14.4095,318,9.982,0,1010.03
7.961111111,0.7,10.7548,321,10.0464,0,1010.22
8.033333333,0.7,4.8622,349,10.0464,0,1010.39
9.077777778,0.65,2.3828,348,10.0303,0,1010.24
9.05,0.62,0.322,243,9.982,0,1010
9.05,0.65,3.2522,177,11.2056,0,1009.98
9.183333333,0.65,3.0107,170,11.0285,0,1010.05
9.072222222,0.7,10.465,172,9.982,0,1010.1
7.983333333,0.75,7.3416,172,9.982,0,1010.39
8.072222222,0.75,9.5151,150,9.982,0,1010.91
7.894444444,0.82,9.9981,142,9.982,0,1011.32
7.311111111,0.83,13.685,141,11.9784,0,1011.61
7.338888889,0.84,11.5437,141,14.168,0,1011.97
6.622222222,0.85,12.719,142,14.9086,0,1012.22
6.066666667,0.88,12.8961,130,14.9086,0,1012.74
8.338888889,0.88,0.6923,359,15.0052,0,1015.35
5.183333333,0.91,5.5384,166,9.982,0,1013.29
3.722222222,0.94,5.2003,145,9.982,0,1013.39
4.855555556,0.93,5.6189,170,5.9248,0,1013.45
5.211111111,0.92,4.7656,178,1.2236,0,1013.4
6.255555556,0.92,7.9212,223,7.2128,0,1013.81
7.794444444,0.87,9.7566,240,10.6743,0,1014.7
10.05,0.76,9.6922,231,11.2056,0,1014.67
12.2,0.66,14.49,230,9.982,0,1014.66
12.7,0.63,20.3343,214,11.0285,0,1014.8
13.93333333,0.58,23.5865,222,11.27,0,1014.47
15.09444444,0.59,22.2985,241,11.27,0,1014.16
15.15,0.5,14.7154,235,11.4471,0,1014.07
16.17777778,0.44,14.49,238,11.27,0,1013.34
16.25,0.55,14.7154,211,11.27,0,1012.72
16.29444444,0.5,19.5937,221,11.4471,0,1012.38
16.1,0.56,14.8281,215,11.1251,0,1012.38
12.95555556,0.68,11.9784,224,11.27,0,1012.72
13.85,0.64,11.5598,231,11.4471,0,1013.42
12.77777778,0.69,14.2485,358,10.0464,0,1014.41
12.15,0.72,11.2539,8,15.8746,0,1014.89
10.67777778,0.81,5.7799,59,15.0052,0,1014.91
10.44444444,0.83,2.6404,63,15.8746,0,1014.75
9.822222222,0.8,5.313,65,15.8746,0,1015.55
11.02777778,0.74,11.3827,146,14.9569,0,1015.7
7.138888889,0.93,3.6547,305,14.9086,0,1016.43
7.622222222,0.89,10.8675,327,14.9086,0,1016.56
7.627777778,0.86,6.5205,319,13.3791,0,1017.15
7.044444444,0.86,11.3988,271,9.982,0,1017.37
8.6,0.84,9.66,297,9.982,0,1018.25
9.65,0.84,15.9551,289,9.982,0,1019.24
12.10555556,0.72,13.1698,310,9.982,0,1019.83
12.77777778,0.71,13.1698,301,11.2056,0,1020.51
13.81111111,0.65,9.6761,307,11.4471,0,1020.91
16.01666667,0.48,11.2378,307,11.27,0,1020.6
17.12777778,0.47,12.7029,308,11.27,0,1020.39
17.14444444,0.43,10.6099,279,11.4471,0,1020.34
17.77777778,0.4,7.9534,272,11.2056,0,1019.7
17.77777778,0.37,2.5921,351,11.2056,0,1018.89
17.80555556,0.43,11.0124,175,10.3523,0,1018.48
16.15555556,0.52,9.1931,172,9.982,0,1017.87
14.05,0.63,9.1609,160,9.982,0,1017.56
13.08888889,0.67,9.2736,138,9.982,0,1017.38
12.28888889,0.72,9.4507,141,9.982,0,1017.58
12.77777778,0.66,11.0768,141,15.8263,0,1017.65
12.72777778,0.67,13.3791,149,14.9569,0,1017.36
12.26666667,0.69,14.1358,151,15.8263,0,1016.8
11.71111111,0.71,11.3183,158,15.8263,0,1016.64
10.82777778,0.86,9.177,259,14.168,0,1013.13
12.2,0.59,14.168,141,15.8263,0,1014.79
12.2,0.6,14.2968,151,15.8263,0,1014.25
11.68888889,0.68,13.8299,152,14.9569,0,1013.95
11.20555556,0.77,14.007,132,9.982,0,1013.63
11.13333333,0.77,15.4882,150,9.982,0,1013.27
11.43888889,0.77,13.8782,163,10.3523,0,1013.56
13.03333333,0.81,14.4578,209,9.982,0,1012.85
17.24444444,0.62,25.0194,221,11.27,0,1012.15
17.73888889,0.53,27.37,230,11.4471,0,1011.71
17.84444444,0.56,22.218,251,11.27,0,1011.28
18.86111111,0.56,23.5382,250,11.27,0,1010.99
18.66666667,0.56,19.8996,240,11.3988,0,1010.93
17.82222222,0.56,17.5007,243,11.27,0,1010.7
17.8,0.59,17.6939,281,11.27,0,1010.52
17.35,0.57,19.5615,295,11.3988,0,1010.69
16.06666667,0.67,21.8155,280,11.2056,0,1010.86
14.93333333,0.73,17.2753,280,11.2056,0,1011.14
13.92222222,0.78,11.7691,279,11.2861,0,1011.64
12.75555556,0.84,11.0446,270,11.0768,0,1012.02
12.75555556,0.84,11.0607,277,15.6975,0,1012.21
12.37222222,0.86,7.2933,239,14.8764,0,1012.33
11.18333333,0.93,6.923,241,15.8263,0,1012.6
11.66666667,0.9,11.1734,242,15.8263,0,1012.8
8.977777778,0.95,10.3201,266,6.8425,0,1012.66
10.57777778,0.93,11.1734,278,14.9086,0,1012.32
10.53333333,0.89,14.007,269,14.9086,0,1012.33
10.58888889,0.87,7.2933,269,14.168,0,1012.55
9.983333333,0.89,6.7298,297,15.8263,0,1012.71
11.02222222,0.86,7.889,307,9.982,0,1013.01
13.53888889,0.75,11.8657,305,9.982,0,1013.23
13.88888889,0.68,20.0123,308,11.2056,0,1013.31
15,0.67,17.5812,300,11.2056,0,1013.4
17.18333333,0.57,15.9551,319,11.4471,0,1013.27
16.2,0.62,16.3093,309,11.27,0,1013.02
17.75,0.56,17.7744,290,11.2056,0,1013.03
18.40555556,0.54,19.0785,297,15.3594,0,1012.55
17.82222222,0.59,17.5973,319,11.27,0,1012.03
17.31111111,0.57,20.3343,310,11.27,0,1011.81
17.50555556,0.55,13.7172,316,11.4471,0,1011.33
17.26666667,0.54,14.3773,309,9.982,0,1011.2
15.13888889,0.61,10.8997,310,9.982,0,1011.5
13.25,0.69,4.7173,325,9.982,0,1011.76
12.29444444,0.72,4.669,282,9.982,0,1012.01
10.7,0.79,3.5742,281,15.8263,0,1012.31
9.855555556,0.85,5.7477,274,14.9569,0,1012.51
9.522222222,0.88,11.27,280,11.9784,0,1012.52
8.405555556,0.92,3.1234,255,11.9784,0,1012.61
13.01111111,0.82,9.6278,46,14.9569,0,1011.27
7.733333333,0.96,3.4293,277,4.2987,0,1012.54
6.138888889,0.96,3.3488,284,4.1216,0,1012.44
6.472222222,0.95,2.9946,283,4.7656,0,1012.62
6.627777778,0.96,3.3005,313,2.9302,0,1012.75
8.688888889,0.93,1.4329,290,5.8443,0,1012.96
11.99444444,0.81,2.415,345,9.6117,0,1013.38
13.76666667,0.78,4.1538,16,9.6761,0,1013.14
15.08888889,0.77,7.3738,332,9.9015,0,1013.33
16.45555556,0.68,7.8085,350,11.0768,0,1013.56
17.31111111,0.62,7.3738,330,11.27,0,1013.61
17.87222222,0.64,8.372,12,11.27,0,1013.11
19.03888889,0.47,7.0679,39,11.4471,0,1012.69
18.97777778,0.51,10.8675,3,11.27,0,1012.2
19.00555556,0.55,4.8139,9,11.2056,0,1011.7
19.01111111,0.53,4.7978,33,11.3988,0,1011.4
17.86666667,0.64,10.9319,24,11.2056,0,1011.32
17.26666667,0.62,10.8514,33,9.982,0,1011.23
16.18888889,0.61,5.0876,25,10.3523,0,1011.5
14.88333333,0.72,9.177,32,9.982,0,1012.05
14.32777778,0.75,10.9319,31,15.8263,0,1012.15
14.51111111,0.75,6.3756,47,14.9569,0,1012.09
14.37222222,0.75,6.5366,67,15.8263,0,1011.83
14.87777778,0.72,14.2163,60,15.8263,0,1011.45
10.40555556,0.92,3.6064,144,2.0125,0,1012.05
12.82222222,0.83,8.4364,57,11.2056,0,1011.18
12.8,0.85,14.4256,31,14.9086,0,1010.07
12.82777778,0.86,13.8943,12,14.168,0,1009.83
12.26666667,0.85,15.778,12,11.2056,0,1009.8
12.26666667,0.85,15.5848,2,11.27,0,1009.99
12.18333333,0.82,12.3809,11,11.0768,0,1010.21
12.17222222,0.8,20.3826,11,11.27,0,1010.41
12.71111111,0.83,22.0892,19,11.27,0,1010.33
15.60555556,0.78,22.3468,18,10.3523,0,1010.43
16.02222222,0.78,18.0642,20,11.2056,0,1010.29
17.2,0.67,17.6456,48,11.2056,0,1010.1
17.21666667,0.71,14.0875,46,11.0285,0,1009.96
17.82777778,0.69,13.4113,29,11.2056,0,1009.86
17.82777778,0.69,14.6188,19,11.2056,0,1009.47
17.73333333,0.69,9.2414,340,11.0285,0,1009.63
16.27222222,0.71,23.0713,39,11.2056,0,1009.39
13.16666667,0.93,3.7674,335,5.2164,0,1011.07
13.25555556,0.93,3.1395,228,8.05,0,1011.23
13.01111111,0.93,10.3362,274,9.982,0,1011.35
12.45555556,0.91,5.796,310,14.9086,0,1011.67
12.48888889,0.9,9.8854,315,14.5866,0,1011.76
9.555555556,0.8,6.4883,146,15.8263,0,1015.68
10.62222222,0.79,14.0231,160,15.8263,0,1015.41
8.722222222,0.93,4.5724,40,11.3988,0,1014.98
10.53333333,0.77,10.7709,143,15.8263,0,1015.18
9.444444444,0.83,6.5366,133,15.8263,0,1014.7
9.888888889,0.83,6.0858,163,14.9569,0,1014.64
10.36666667,0.78,10.7065,136,15.8263,0,1014.31
8.888888889,0.89,10.4972,158,11.2056,0,1014.63
9.977777778,0.84,8.0017,151,11.0285,0,1014.82
12.2,0.73,2.4633,355,9.982,0,1014.82
13.96111111,0.67,9.3058,123,9.982,0,1015
14.94444444,0.67,7.1645,132,10.3523,0,1014.9
16.18333333,0.71,11.753,199,9.982,0,1014.35
16.36666667,0.61,7.1323,227,11.27,0,1014.51
17.37222222,0.57,3.6225,251,11.4471,0,1014.32
17.67222222,0.51,1.7549,156,11.27,0,1013.93
17.72222222,0.53,8.6779,113,11.27,0,1013.45
16.23888889,0.61,2.8336,261,11.3988,0,1013.43
14.06666667,0.71,9.2414,357,11.2056,0,1013.58
13.95555556,0.76,7.4221,147,11.2056,0,1013.24
12.28888889,0.8,3.542,161,11.0285,0,1013.7
10.02222222,0.86,3.1073,149,9.9015,0,1014.14
9.377777778,0.86,6.44,190,15.6009,0,1014.34
9.416666667,0.9,4.6046,138,14.7154,0,1014.6
11.82777778,0.92,3.0268,311,15.8263,0,1011.68
10.76111111,0.91,5.1681,178,0.6118,0,1011.98
12.15555556,0.95,2.8497,298,3.6386,0,1015.64
9.672222222,0.94,5.7155,123,0.6118,0,1012.26
8.15,0.94,6.762,10,0.6118,0,1012.63
10.2,0.95,5.6189,133,1.1109,0,1012.62
10.11666667,0.99,2.254,127,0.5152,0,1012.85
10.16111111,0.99,0.3381,81,0.4347,0,1013.61
11.24444444,0.98,2.7531,358,0.6923,0,1013.9
12.24444444,0.99,2.254,152,2.2057,0,1014.31
13.91111111,0.92,8.0983,135,4.2021,0,1014.43
15.61666667,0.82,2.2862,153,6.3112,0,1014.73
15.07222222,0.86,3.2844,120,6.3434,0,1014.92
15.07222222,0.82,7.5992,162,8.1949,0,1014.73
14.26666667,0.87,10.5616,134,6.8908,0,1014.92
16.01666667,0.81,6.6654,115,7.2772,0,1014.76
15.02777778,0.86,7.7119,139,7.2772,0,1014.37
13.94444444,0.89,7.2772,152,6.3112,0,1014.83
12.91666667,0.95,11.4793,310,4.7495,0,1015.11
12.89444444,0.95,5.2808,347,5.2164,0,1015.14
12.4,0.98,2.3506,72,5.8282,0,1015.5
12.26666667,0.99,8.05,320,6.1985,0,1015.76
12.22222222,0.96,6.1985,349,6.1985,0,1016.35
11.25,0.96,2.7692,335,3.8318,0,1016.38
11.52777778,0.96,3.1556,358,4.508,0,1016.43
11.53888889,0.96,5.9892,301,3.1234,0,1016.56
9.438888889,0.96,5.9731,326,1.8032,0,1017.23
11.43888889,0.96,6.279,340,3.8801,0,1016.17
11.39444444,0.96,6.44,350,3.864,0,1016.25
11.52777778,0.96,6.4239,332,3.2522,0,1016.13
11.95,0.93,4.83,340,0.644,0,1016.17
11.97222222,1,9.66,10,1.2558,0,1016.45
12.63333333,0.96,7.6636,7,2.3506,0,1016.94
12.75555556,0.96,7.9695,1,4.025,0,1017.06
13.84444444,0.9,7.9212,30,4.4919,0,1017.45
13.17222222,0.94,10.3845,8,6.2629,0,1017.77
15.06666667,0.86,8.1466,345,6.1985,0,1017.73
17.24444444,0.75,7.1645,308,11.27,0,1017.53
16.31666667,0.76,13.3469,352,11.0285,0,1017.31
17.38333333,0.74,13.6206,353,11.27,0,1016.82
15.27222222,0.76,8.2754,85,11.27,0,1016.6
17.45555556,0.72,5.2808,49,11.0768,0,1016.39
16.22222222,0.77,11.1573,21,11.27,0,1016.33
15.08333333,0.82,3.6869,23,11.27,0,1016.52
13.99444444,0.88,1.1431,35,9.6278,0,1016.81
12.17222222,0.92,0.6601,30,8.1305,0,1017.34
11.08888889,0.95,4.8461,56,1.0626,0,1017.54
11.09444444,0.95,3.381,11,1.7871,0,1017.43
9.883333333,0.96,3.3649,349,1.0626,0,1017.65
9.355555556,0.96,6.4239,321,3.3649,0,1017.56
9.861111111,0.96,3.2361,319,4.4597,0,1016.16
8.272222222,0.99,3.3166,313,1.9159,0,1017.16
8.866666667,0.96,2.6243,337,1.7549,0,1017.15
8.816666667,0.96,3.9445,335,2.3667,0,1017.28
7.155555556,1,1.8515,319,0.2898,0,1017.15
8.85,0.99,3.4776,295,1.7549,0,1017.36
11.17777778,0.93,2.8819,285,2.5599,0,1017.7
12.38888889,0.98,3.4293,349,6.2951,0,1017.72
14.14444444,0.88,4.8783,339,9.982,0,1017.82
17.1,0.72,3.059,308,11.0768,0,1017.77
18.93888889,0.64,4.2021,306,11.27,0,1017.3
17.91666667,0.68,4.0894,6,11.27,0,1016.9
19.98333333,0.53,1.2236,72,11.1412,0,1016.4
20.07222222,0.62,9.0643,352,11.27,0,1015.9
20.07222222,0.56,9.4829,2,11.27,0,1015.29
20.08333333,0.58,7.4865,15,11.3988,0,1014.9
19.08888889,0.63,9.1287,23,11.2056,0,1014.68
17.45,0.62,7.567,24,11.2056,0,1014.78
15.56666667,0.74,0.5152,116,9.982,0,1015.04
12.49444444,0.91,3.9445,197,9.982,0,1015.51
12.24444444,0.89,1.5295,140,15.8263,0,1015.72
11.41666667,0.92,2.9624,275,14.9569,0,1015.79
10.55555556,0.95,6.0375,290,14.812,0,1015.83
10.46666667,0.93,3.0751,270,9.8049,0,1015.95
10.25,0.95,5.2969,278,4.7495,0,1017.13
9.355555556,0.96,1.5295,100,4.025,0,1015.82
8.311111111,0.96,3.22,300,2.0286,0,1015.82
8.811111111,0.96,3.3971,333,1.7388,0,1015.89
8.733333333,0.93,6.3434,304,0.7889,0,1015.83
11.93333333,0.93,11.27,140,9.8049,0,1016.12
14.51666667,0.84,1.7066,129,9.5473,0,1016.23
18.73333333,0.68,3.22,300,9.982,0,1016.23
20.02777778,0.6,7.245,160,9.982,0,1016.38
21.03888889,0.55,6.4883,209,10.0303,0,1016.66
20.73888889,0.46,6.5044,179,15.8746,0,1016.58
22.31666667,0.48,7.5348,235,11.27,0,1016.27
22.11111111,0.5,6.4561,145,11.4471,0,1015.96
22.73333333,0.38,1.0143,262,10.0464,0,1015.34
22.77777778,0.37,5.1842,90,10.0464,0,1014.7
21.21666667,0.41,7.2772,58,11.4471,0,1015.2
20.18333333,0.45,1.4812,179,10.0464,0,1014.87
18.01111111,0.68,0.322,157,9.982,0,1014.78
17.42222222,0.65,0.5313,139,9.982,0,1015.54
13.96111111,0.82,0,0,9.982,0,1016.01
13.28888889,0.89,2.8819,329,15.8263,0,1016.52
12.32222222,0.89,2.4794,262,9.982,0,1016.96
11.11666667,0.95,3.1717,268,6.2951,0,1017.04
10.53333333,0.95,11.27,280,6.2951,0,1017.33
12.38333333,0.8,4.6207,172,14.168,0,1019.59
9.861111111,0.96,3.0751,273,3.8318,0,1017.25
8.872222222,0.95,1.5295,320,3.3649,0,1017.42
8.672222222,0.94,3.6386,317,4.2826,0,1017.74
7.688888889,1,0,0,0.7406,0,1018.13
10.91111111,0.99,1.61,210,4.1216,0,1018.62
14.83888889,0.82,2.6565,193,8.3398,0,1019.08
18.8,0.65,1.5295,140,9.982,0,1019.11
21.09444444,0.49,4.8783,199,9.982,0,1019.5
22.02777778,0.49,4.2826,226,11.0285,0,1019.86
22.82777778,0.47,3.6225,188,11.2056,0,1019.79
22.91666667,0.37,4.5563,292,9.982,0,1019.47
23.91666667,0.37,6.2951,154,10.3523,0,1019.25
23.91111111,0.4,2.5599,333,9.982,0,1018.89
23.93333333,0.37,4.347,178,9.982,0,1018.6
23.91666667,0.32,1.1753,205,10.3523,0,1018.67
22.82222222,0.44,3.1234,214,9.982,0,1018.59
21.22777778,0.48,0.4025,181,9.982,0,1018.67
19.07777778,0.51,2.6887,185,9.982,0,1019.22
17.06111111,0.63,1.5778,228,9.982,0,1019.88
14.90555556,0.72,3.7513,136,15.8263,0,1019.91
13.08333333,0.87,3.4132,185,14.9569,0,1020.02
12.71111111,0.89,3.2522,169,15.8263,0,1020.11
12.12777778,0.89,3.1717,148,14.9086,0,1020.12
11.81111111,0.84,4.991,68,14.9569,0,1018.38
12.01666667,0.8,6.2629,169,14.9086,0,1019.91
12.04444444,0.8,6.4239,187,14.812,0,1020.03
10.62777778,0.86,9.7083,151,14.0875,0,1020.39
9.911111111,0.99,9.1448,141,6.118,0,1020.6
12.55555556,0.9,7.7441,169,9.9015,0,1020.81
15.00555556,0.78,8.7584,154,9.9015,0,1021.01
17.33888889,0.74,12.1877,150,9.982,0,1020.94
19.1,0.67,12.6224,150,9.982,0,1020.66
21.26111111,0.57,9.9176,147,10.3523,0,1020.53
22.41111111,0.54,11.4471,168,11.2056,0,1020.16
22.93888889,0.5,8.5491,155,11.2056,0,1019.95
23.92777778,0.47,11.3022,153,11.3988,0,1019.43
23.96111111,0.47,8.3076,142,9.982,0,1018.97
23.96111111,0.38,8.5813,150,9.982,0,1018.28
23.11111111,0.42,10.7065,145,10.3523,0,1017.97
22.82222222,0.44,12.4936,178,9.982,0,1017.68
21.11111111,0.47,5.2164,137,9.982,0,1017.89
18.18888889,0.58,4.8622,95,10.3523,0,1017.96
16.01666667,0.72,4.6046,50,9.982,0,1018.31
15.46666667,0.72,6.44,80,15.8263,0,1018.6
14.60555556,0.76,6.7459,83,14.9569,0,1018.65
13.31111111,0.82,3.542,73,15.8263,0,1018.44
12.73333333,0.83,3.0751,70,15.8263,0,1018.23
13.78888889,0.77,6.0858,50,14.9569,0,1014.58
10.57777778,0.88,6.44,190,15.8263,0,1018.11
10.48333333,0.92,3.22,340,15.4721,0,1017.73
10.28888889,0.91,3.7513,48,14.8764,0,1017.7
9.972222222,0.92,1.5617,106,10.9802,0,1017.62
13.63888889,0.9,2.7048,193,9.8049,0,1017.54
16.73888889,0.74,7.245,147,10.3523,0,1017.7
18.83888889,0.65,3.4132,94,9.982,0,1017.78
21.16111111,0.59,4.6046,178,9.982,0,1017.3
22.58888889,0.53,4.4275,117,10.4006,0,1017.19
22.89444444,0.48,7.6636,53,11.27,0,1016.68
24.00555556,0.47,9.66,82,11.2056,0,1016.08
24.00555556,0.35,8.0017,70,11.3988,0,1015.62
23.97777778,0.44,9.2897,136,11.2056,0,1014.86
25.04444444,0.32,3.5903,185,11.2056,0,1013.97
24.07777778,0.35,4.9588,101,10.3523,0,1013.39
22.38333333,0.45,9.4829,102,9.982,0,1013.18
21.20555556,0.52,3.6869,101,9.982,0,1013.21
18.26111111,0.62,6.2146,28,10.3523,0,1013.75
17.2,0.67,14.49,30,9.982,0,1014.13
15.99444444,0.75,3.1073,54,9.982,0,1014.13
15.96111111,0.79,12.2843,23,11.9301,0,1014.06
15.44444444,0.72,13.846,31,15.8263,0,1013.92
14.37222222,0.75,10.9963,52,15.8263,0,1013.82
13.60555556,0.9,9.982,53,12.0428,0,1012.67
12.82222222,0.82,6.2468,48,15.8263,0,1013.04
12.75,0.83,3.3488,72,15.8263,0,1013.03
11.41666667,0.92,6.2307,38,15.2628,0,1012.98
12.33333333,0.86,2.4633,139,9.982,0,1012.83
14.90555556,0.78,10.2879,160,9.982,0,1013.03
15.89444444,0.74,10.2879,154,9.982,0,1013.13
17.22777778,0.72,12.0589,147,9.982,0,1013.13
17.82777778,0.73,7.4704,166,9.982,0,1013.1
17.91666667,0.72,10.0947,158,9.982,0,1013.17
19.05555556,0.67,9.0965,128,9.982,0,1013
20.14444444,0.67,7.5187,177,9.982,0,1012.69
20.26111111,0.62,3.8962,166,9.982,0,1012.54
21.20555556,0.62,4.6368,170,9.982,0,1011.87
21.25555556,0.67,4.8944,164,9.982,0,1011.19
20.23333333,0.66,7.2128,161,9.982,0,1011.17
19.07777778,0.71,7.6475,153,9.982,0,1011.08
17.94444444,0.77,10.5777,142,9.982,0,1011.28
15.49444444,0.82,20.608,151,11.0285,0,1012.08
14.14444444,0.89,8.4364,146,9.9015,0,1012.64
14.53888889,0.86,11.0768,103,11.8979,0,1012.79
14.13888889,0.86,3.6708,142,11.6886,0,1012.79
13.4,0.9,3.5098,116,11.9784,0,1012.56
13.42777778,0.9,3.3488,71,11.9784,0,1012.8
11.58888889,0.74,5.474,139,14.9569,0,1009.9
14.42222222,0.83,10.7709,63,14.9086,0,1011.91
13.91666667,0.86,10.6904,72,14.812,0,1011.72
13.4,0.9,10.3201,82,14.0875,0,1011.51
13.86666667,0.9,7.9373,106,9.9015,0,1011.51
14.90555556,0.84,11.27,108,9.7566,0,1011.6
15.93333333,0.74,10.6743,132,9.4346,0,1011.59
17.12777778,0.65,19.8996,138,9.9015,0,1011.41
18.75,0.58,19.4166,157,9.9015,0,1011.2
